benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
critpt,nvidia-nemotron-nano-9b-v2,2,NVIDIA NemotronNano 9B V2,nvidia-nemotron-nano-9b-v2,470439.9719166888,0.0,929560.0280833112,0.0,0.0,929560.0280833112
critpt,nvidia-nemotron-nano-9b-v2,2,NVIDIANemotronNano 9B V2,nvidia-nemotron-nano-9b-v2,189556.57489876743,939002.192254047,71441.23284718546,0.0,0.0,1010443.4251012324
critpt,qwen3-235b-a22b-instruct-2507,2,Qwen3 235B 2507,qwen3-235b-a22b-instruct-2507,807218.6813580111,0.0,692781.3186419889,0.0,0.0,692781.3186419889
critpt,qwen3-235b-a22b-instruct-2507,2,Qwen3 235BA22B 2507,qwen3-235b-a22b-instruct-2507-reasoning,282019.727172624,2351439.520549465,166540.7522779111,0.0,0.0,2517980.272827376
critpt,qwen3-30b-a3b-2507,2,Qwen3 30B A3B2507,qwen3-30b-a3b-2507,791164.6532251689,0.0,708835.3467748311,0.0,0.0,708835.3467748311
critpt,qwen3-30b-a3b-2507,2,Qwen3 30BA3B 2507,qwen3-30b-a3b-2507,241083.93442622136,1440371.803278693,118544.26229508551,0.3,0.3,1558916.0655737785
critpt,qwen3-4b-2507-instruct,2,Qwen3 4B 2507,qwen3-4b-2507-instruct-reasoning,476175.4076111148,0.0,363824.59238888527,0.0,0.0,363824.59238888527
critpt,qwen3-4b-2507-instruct,2,Qwen3 4B2507,qwen3-4b-2507-instruct-reasoning,230631.9762355911,1257623.373692854,111744.65007155485,0.0,0.0,1369368.023764409
critpt,qwen3-5-122b-a10b,2,Qwen3.5 122B A10B,qwen3-5-122b-a10b,140405.39951078358,0.0,1659594.6004892164,0.9,0.9,1659594.6004892164
critpt,qwen3-5-122b-a10b,2,Qwen3.5 122BA10B,qwen3-5-122b-a10b,139593.3127416057,2234003.410868,326403.2763903949,0.6,0.6,2560406.6872583944
critpt,qwen3-5-35b-a3b,2,Qwen3.5 35B A3B,qwen3-5-35b-a3b-non-reasoning,137706.4564369529,0.0,1762293.543563047,0.6,0.6,1762293.543563047
critpt,qwen3-5-35b-a3b,2,Qwen3.5 35BA3B,qwen3-5-35b-a3b-non-reasoning,142154.79444515923,2028344.941591813,329500.2639630276,0.9,0.9,2357845.2055548406
critpt,qwen3-5-397b-a17b,2,Qwen3.5 397B A17B,qwen3-5-397b-a17b-non-reasoning,142547.88830434266,0.0,1657452.1116956573,0.9,0.9,1657452.1116956573
critpt,qwen3-5-397b-a17b,2,Qwen3.5 397BA17B,qwen3-5-397b-a17b-non-reasoning,139908.85541923915,2831466.2960915184,228624.84848924208,1.7,0.017,3060091.1445807605
critpt,qwen3-max,2,Qwen3 Max,qwen3-max,761216.0323798872,0.0,638783.9676201127,0.0,0.0,638783.9676201127
critpt,qwen3-max,2,Qwen3 MaxThinking,qwen3-max-thinking,987466.8731767896,1601686.794324713,10846.332498497106,1.7,0.017,1612533.1268232102
critpt,qwen3-next-80b-a3b,2,Qwen3 Next 80BA3B,qwen3-next-80b-a3b-reasoning,710173.448101111,0.0,589826.5518988889,0.0,0.0,589826.5518988889
critpt,qwen3-next-80b-a3b,2,Qwen3 Next80B A3B,qwen3-next-80b-a3b-reasoning,243999.1511931968,1628805.9195048222,127194.92930198104,0.0,0.0,1756000.848806803
critpt,qwen3-omni-30b-a3b,2,Qwen3 Omni 30BA3B,qwen3-omni-30b-a3b-reasoning,1150843.576403793,0.0,1249156.423596207,0.0,0.0,1249156.423596207
critpt,qwen3-omni-30b-a3b,2,Qwen3 Omni30B A3B,qwen3-omni-30b-a3b-reasoning,252008.7171595573,1321165.5111739817,126825.77166646122,0.0,0.0,1447991.2828404428
critpt,qwen3-vl-235b-a22b,2,Qwen3 VL 235BA22B,qwen3-vl-235b-a22b-reasoning,711321.6802441449,0.0,588678.3197558551,0.0,0.0,588678.3197558551
critpt,qwen3-vl-235b-a22b,2,Qwen3 VL235B A22B,qwen3-vl-235b-a22b-reasoning,292488.46978643833,1564344.9565719771,143166.5736415845,0.0,0.0,1707511.5302135616
critpt,qwen3-vl-30b-a3b,2,Qwen3 VL 30B A3B,qwen3-vl-30b-a3b-reasoning,1201787.5708502308,0.0,1198212.4291497697,0.0,0.0,1198212.4291497697
critpt,qwen3-vl-30b-a3b,2,Qwen3 VL 30BA3B,qwen3-vl-30b-a3b-reasoning,255033.9124320352,1576897.286139874,168068.80142809093,0.0,0.0,1744966.087567965
